Datetime,Open,High,Low,Close,Adj Close,Volume
2025-05-08 00:00:00+00:00,97037.6875,97621.1875,96926.1796875,97621.1875,97621.1875,0
2025-05-08 01:00:00+00:00,97759.6796875,98270.609375,97695.09375,97800.9296875,97800.9296875,3705528320
2025-05-08 02:00:00+00:00,97835.8203125,98826.703125,97835.8203125,98683.1171875,98683.1171875,0
2025-05-08 03:00:00+00:00,98694.4140625,99143.9921875,98568.3515625,99143.9921875,99143.9921875,0
2025-05-08 04:00:00+00:00,99150.4375,99386.75,98968.3671875,98968.3671875,98968.3671875,3603525632
2025-05-08 05:00:00+00:00,99022.1015625,99091.8359375,98761.0234375,98761.0234375,98761.0234375,1981464576
2025-05-08 06:00:00+00:00,98774.703125,99021.8359375,98761.640625,99021.8359375,99021.8359375,112226304
2025-05-08 07:00:00+00:00,99040.234375,99365.765625,99040.234375,99259.609375,99259.609375,2037669888
2025-05-08 08:00:00+00:00,99261.2421875,99761.375,99232.8359375,99718.34375,99718.34375,582873088
2025-05-08 09:00:00+00:00,99690.71875,99819.828125,99569.6171875,99769.8515625,99769.8515625,648151040
2025-05-08 10:00:00+00:00,99811.53125,99860.5,99708.7734375,99860.5,99860.5,1377382400
2025-05-08 11:00:00+00:00,99819.171875,99819.171875,99445.6796875,99445.6796875,99445.6796875,0
2025-05-08 12:00:00+00:00,99442.78125,99539.140625,99282.796875,99307.0078125,99307.0078125,1177890816
2025-05-08 13:00:00+00:00,99307.734375,99649.7890625,99122.6796875,99293.3515625,99293.3515625,0
2025-05-08 14:00:00+00:00,99316.0546875,99814.9296875,99224.1328125,99494.28125,99494.28125,0
2025-05-08 15:00:00+00:00,99389.421875,101513.40625,99389.421875,100842.921875,100842.921875,3311718400
2025-05-08 16:00:00+00:00,101013.0859375,101364.90625,100631.5234375,101323.0546875,101323.0546875,4141858816
2025-05-08 17:00:00+00:00,101310.4921875,101688.53125,100964.9609375,101029.6328125,101029.6328125,1190957056
2025-05-08 18:00:00+00:00,101044.03125,101451.3125,101044.03125,101381.859375,101381.859375,0
2025-05-08 19:00:00+00:00,101351.9375,101362.0859375,101053.6796875,101135.890625,101135.890625,277065728
