Datetime,Open,High,Low,Close,Volume
2025-07-14 00:00:00+00:00,119118.796875,122490.2265625,118961.7734375,122454.9453125,66199724032
2025-07-14 06:00:00+00:00,122481.4453125,123077.6328125,121354.9921875,121487.484375,32095371264
2025-07-14 12:00:00+00:00,121470.875,122019.328125,119206.640625,119805.5703125,95355183104
2025-07-14 18:00:00+00:00,119807.078125,120440.1953125,119579.6484375,119846.8125,18377179136
2025-07-15 00:00:00+00:00,119850.5703125,119933.421875,116385.875,117382.125,27898609664
2025-07-15 06:00:00+00:00,117329.7265625,117329.7265625,116364.6953125,117140.0390625,24603885568
2025-07-15 12:00:00+00:00,117113.6171875,118389.6484375,115765.6875,117387.28125,28290899968
2025-07-15 18:00:00+00:00,117374.9765625,117969.4609375,116128.328125,117763.3828125,21537742848
2025-07-16 00:00:00+00:00,117780.359375,118193.09375,117107.640625,117879.7578125,16865083392
2025-07-16 06:00:00+00:00,117881.5078125,119294.4765625,117792.9140625,118765.2578125,27258773504
2025-07-16 12:00:00+00:00,118778.8984375,119764.0703125,118258.3984375,119129.3125,22981074944
2025-07-16 18:00:00+00:00,119107.546875,120054.640625,118483.9375,118700.6015625,22449053696
2025-07-17 00:00:00+00:00,118722.8046875,119182.7578125,117827.1953125,118620.125,19489660928
2025-07-17 06:00:00+00:00,118630.2734375,119145.2109375,117914.25,118031.359375,22002360320
2025-07-17 12:00:00+00:00,118028.9375,119237.3359375,117552.5390625,119237.3359375,22199193600
2025-07-17 18:00:00+00:00,119346.1171875,120989.984375,118507.296875,119305.8359375,162114170880
2025-07-18 00:00:00+00:00,119245.2578125,120726.0625,119141.3671875,120652.0625,308895920128
2025-07-18 06:00:00+00:00,120655.828125,120808.9765625,118483.5625,119234.765625,397180133376
2025-07-18 12:00:00+00:00,119218.6796875,119566.1875,117438.296875,117703.7421875,426118733824
2025-07-18 18:00:00+00:00,117652.46875,118067.6171875,116930.9453125,118004.8671875,236930740224
2025-07-19 00:00:00+00:00,118006.859375,118432.828125,117722.90625,118312.53125,14575599616
2025-07-19 06:00:00+00:00,118299.1953125,118540.4453125,118059.515625,118371.65625,14138576896
2025-07-19 12:00:00+00:00,118393.421875,118402.9921875,117721.7890625,117839.0625,10365763584
2025-07-19 18:00:00+00:00,117822.4140625,118160.9140625,117411.5703125,117934.9453125,17876209664
2025-07-20 00:00:00+00:00,117913.4609375,118184.5,117722.3671875,117915.8203125,11386064896
2025-07-20 06:00:00+00:00,117899.625,118303.015625,117829.4609375,117866.75,13270982656
2025-07-20 12:00:00+00:00,117903.125,118837.25,117773.21875,118056.046875,19259600896
2025-07-20 18:00:00+00:00,118058.328125,118581.0234375,116675.8515625,117275.203125,25865478144
2025-07-21 00:00:00+00:00,117214.59375,118644.375,116589.15625,118427.15625,21254717440
2025-07-21 06:00:00+00:00,118448.3671875,119619.109375,118191.421875,118191.421875,22295564288
2025-07-21 12:00:00+00:00,118198.078125,119231.0,117426.328125,117906.921875,21697650688
2025-07-21 18:00:00+00:00,117894.078125,118190.1171875,116729.4453125,117456.6015625,19159330816
2025-07-22 00:00:00+00:00,117419.6484375,117957.78125,116342.7890625,117328.234375,29391863808
2025-07-22 06:00:00+00:00,117331.03125,119224.9296875,117331.03125,119199.2890625,17382342656
2025-07-22 12:00:00+00:00,119206.25,119514.0,117755.4140625,119222.640625,25014263808
2025-07-22 18:00:00+00:00,119237.1171875,120265.5234375,119155.875,119955.8203125,22090637312
2025-07-23 00:00:00+00:00,119999.453125,120104.9765625,118612.359375,118675.6171875,11316051968
2025-07-23 06:00:00+00:00,118681.6484375,118732.0234375,117915.578125,118597.546875,15280877568
2025-07-23 12:00:00+00:00,118593.6015625,118709.4921875,117404.15625,118118.5859375,16694099968
